BSMAS1,BSMAS2,BSMAS3,BSMAS4,BSMAS5,BSMAS6,BSMAS1_2,BSMAS2_2,BSMAS3_2,BSMAS4_2,BSMAS5_2,BSMAS6_2,Active1,InfoSup1,PosRef1,Planning1,EmoSup1,Venting1,Humour1,Acceptance1,Religion1,SelfBlame1,SelfDistract1,Denial1,SubsAbuse1,BehavDiseng1,Active2,InfoSup2,PosRef2,Planning2,EmoSup2,Venting2,Humour2,Acceptance2,Religion2,SelfBlame2,SelfDistract2,Denial2,SubsAbuse2,BehavDiseng2
0,0.36466212412951643,0.17227026236497922,0.02588506660159987,0.050168055952954205,0.11054417963668103,0.04021919968935559,0.009577277332060534,0.03534054929325528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499600716942517,0,0,0,0,0,0,0,0.005513777813933457,0,0,0,0,0,0,0,0
0.36466212412951643,0,0.22117221965731787,0.05012496376845265,0.1736965995182534,0.14440416226919217,0,0.06626124301965437,0,0,0,0,0,0,0,0,0,0.01907555769952908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17227026236497922,0.22117221965731787,0,0.12816205055334307,0.12480206752861242,0.08703338791078505,0,0,0.05064561623417151,0,0,0,0,0,0,0,0,0.016068645240795924,0,0,0,0,0.08620208441947555,0.020337720381346687,0.03184678059394327,0.008174410500310364,0,0,0,0,0,0,0.03804167081004017,0,0,0,0,0,0,0
0.02588506660159987,0.05012496376845265,0.12816205055334307,0,0.24910328099531118,0.19971733750720794,0,0,0,0.09650467982070832,0,0,0,0,0,0,0,0.027742195169002306,0,0,0,0,0,0.13480324146982597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050168055952954205,0.1736965995182534,0.12480206752861242,0.24910328099531118,0,0.15879037372329988,0,0,0,0,0.04515232834984301,0,0,0,0,0,0,0,0,0,0,0,0,0.05157564560857696,0,0,0,0,0,0,0,0,0.003585890817194221,-0.005401997567329102,0,0,0,0,0,0
0.11054417963668103,0.14440416226919217,0.08703338791078505,0.19971733750720794,0.15879037372329988,0,0,0,0,0.004110858849831906,0,0.05710266755495495,0.012602396116984386,0,0,0,0,0.053399273728480336,0,0,0,0,0,0.015144460291627289,0,0.028798565827813268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04021919968935559,0,0,0,0,0,0,0.4181124263952141,0.13646130354544164,0.08442653709682374,0,0.03335816643962432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045326094581642905,0,0,0,0,0,0.016324999428053582,0,0
0.009577277332060534,0.06626124301965437,0,0,0,0,0.4181124263952141,0,0.26467239818586,0.12227735458414961,0.2033944360109205,0.06592057309242566,0,0,0,0,0,0,0,0,0,0,0,0,0.007555309919546823,0,0,0,0.005774118351735262,0,0,0,0,0,0,0,0,0,0,0
0.03534054929325528,0,0.05064561623417151,0,0,0,0.13646130354544164,0.26467239818586,0,0.09199886872439242,0.12146569738463157,0.09159227849360356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005160380092508324,0,0.014216503045037906,0.06781087717474205,0,0.06743432349799063,0,0,0,0.02121573578326243,0.0994371669676498,0.038502721558018295,0,0
0,0,0,0.09650467982070832,0,0.004110858849831906,0.08442653709682374,0.12227735458414961,0.09199886872439242,0,0.2632267234298934,0.2791199121070576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04082839917140779,0,0.07017156277640585,0,0
0,0,0,0,0.04515232834984301,0,0,0.2033944360109205,0.12146569738463157,0.2632267234298934,0,0.13762956815101826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029858294356353263,0,0,0,0.008265398089425361,0,0,0,0,0,0.014861143892003008,0,0
0,0,0,0,0,0.05710266755495495,0.03335816643962432,0.06592057309242566,0.09159227849360356,0.2791199121070576,0.13762956815101826,0,0,0,0,0,0,0.008965859174459615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02607751166158526,0,0,0,0.02854638715702947,0,0.04157523345460486,0.0730789577845005,0.05117025324709961
0,0,0,0,0,0.012602396116984386,0,0,0,0,0,0,0,0.08062196178684371,0.06578122435624446,0.35589832009149724,0,0,0,0.011707341221896705,0,0,0.04413529808613757,0,0,-0.06153403727272848,0.11784607161594693,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.08062196178684371,0,0.003260739940417292,0.07124018986302581,0.6532004655897655,0.08097878636288587,0,0,0.0813198542095054,0,0.00999745839747819,0,0,0,0,0.037966007295364104,0,0,0.01575017664831221,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.06578122435624446,0.003260739940417292,0,0.21252577552404256,0.056865722938441034,0.030482556991377526,0.1059552435925332,0.0850243311258695,0.17896054105065767,0,0,0.0017110089579048678,0,0,0,0,0.13231806820401884,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.35589832009149724,0.07124018986302581,0.21252577552404256,0,0.009551179783372773,0.03386844709893311,0,0.17545885424946978,0,0.040955175986403206,0.01007688637123694,0,0,0,7.667507709323679e-4,0,0,0.09202875110090847,0,0,0,0,0,0,0.016687550870214986,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6532004655897655,0.056865722938441034,0.009551179783372773,0,0.04422129626850229,0.04108804895304823,0,0,0,0,0,0,0,0,0,0,0,0.1542498100038231,0,0,0,0,0,0,0,0,0
0,0.01907555769952908,0.016068645240795924,0.027742195169002306,0,0.053399273728480336,0,0,0,0,0,0.008965859174459615,0,0.08097878636288587,0.030482556991377526,0.03386844709893311,0.04422129626850229,0,0.05928611063437974,0.015859307781399407,0,0.13678096416609933,0.08546873613978553,0.0597211189427437,0.006146299644890441,0.018698792784367622,0,0,0,0,0,0.19627259559669474,0.025553083579779607,0,0,0.01866846972639506,0,0,0,0.007983547134428566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059552435925332,0,0.04108804895304823,0.05928611063437974,0,0.07087642203797245,0,0,0.042450683741692086,0,0,0,0,0,0,0,0,0,0.3369330686806817,0,0,0,0,0,0,0.0024413727642950325
0,0,0,0,0,0,0,0,0,0,0,0,0.011707341221896705,0,0.0850243311258695,0.17545885424946978,0,0.015859307781399407,0.07087642203797245,0,0,0,0.10894176588661468,-0.031429900512804906,0,0,0,0,0,0,0,0,0,0.15652485822477416,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813198542095054,0.17896054105065767,0,0,0,0,0,0,0,0,0.05609462537359536,0,0,0,0,0,0,0,0,0,0,0.49103158330016056,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040955175986403206,0,0.13678096416609933,0,0,0,0,0.07244062776534224,0.007971480969574946,0.019621451968156293,0.22974249574373223,0,0,0,0,0,0,0,0,0,0.3558675938339326,0.0041576165608932176,0,0.009295610720308644,0.03574729025567951
0,0,0.08620208441947555,0,0,0,0,0,0,0,0,0,0.04413529808613757,0.00999745839747819,0,0.01007688637123694,0,0.08546873613978553,0.042450683741692086,0.10894176588661468,0,0.07244062776534224,0,0,0,0.06128773178595718,0,0,0,0,0,0,0,0,0,0,0.19013897107851205,0,0.027351017213806453,0.018156578330824708
0.00499600716942517,0,0.020337720381346687,0.13480324146982597,0.05157564560857696,0.015144460291627289,0,0,0,0,0,0,0,0,0.0017110089579048678,0,0,0.0597211189427437,0,-0.031429900512804906,0.05609462537359536,0.007971480969574946,0,0,0.06260625280105678,0.15975956403099317,0,0,0,0,0,0,0,0,0.019064675092522517,0,0,0.16659171865913108,0,0.0025016685874027092
0,0,0.03184678059394327,0,0,0,0,0.007555309919546823,0,0,0,0,0,0,0,0,0,0.006146299644890441,0,0,0,0.019621451968156293,0,0.06260625280105678,0,0.05679190992491263,0,0,0,0,0,0,0,0,0,0,0,0,0.4415881523138335,0.012091298357150426
0,0,0.008174410500310364,0,0,0.028798565827813268,0,0,0,0,0,0,-0.06153403727272848,0,0,0,0,0.018698792784367622,0,0,0,0.22974249574373223,0.06128773178595718,0.15975956403099317,0.05679190992491263,0,-0.050056102099792894,0,0,0,0,0,0,0,0,0,0,0,0,0.22250286713620981
